__quarterly__,y,cpi,ad_y,ad_cpi,
1947-01-01,761.798079107683,,,,
1947-04-01,761.53101682428,,-1.068249133614,,
1947-07-01,761.324300087184,,-0.826866948384,,
1947-10-01,762.876467776746,,6.208670758248,,
1948-01-01,764.369467190788,,5.971997656168,,
1948-04-01,766.00667214342,,6.548819810528,,
1948-07-01,766.577967331682,,2.285180753051,,
1948-10-01,766.68961713759,,0.446599223632,,
1949-01-01,765.302088841252,,-5.550113185352,,
1949-04-01,764.960404836026,,-1.366736020905,,
1949-07-01,765.987536508473,,4.108526689788,,
1949-10-01,765.144727388832,,-3.371236478565,,
1950-01-01,768.999562643597,,15.419341019059,,
1950-04-01,772.003791360162,,12.016914866262,,
1950-07-01,775.79540704542,,15.166462741032,,
1950-10-01,777.692085978292,,7.586715731489,,
1951-01-01,779.041104433329,,5.396073820145,,
1951-04-01,780.758974623779,,6.871480761802,,
1951-07-01,782.799022221801,,8.160190392089,,
1951-10-01,783.019029601668,,0.880029519467,,
1952-01-01,784.081895525542,,4.251463695495,,
1952-04-01,784.297060573598,,0.860660192224,,
1952-07-01,785.016316927488,,2.877025415561,,
1952-10-01,788.247754726501,,12.92575119605,,
1953-01-01,790.089556429642,,7.367206812564,,
1953-04-01,790.859522587798,,3.079864632627,,
1953-07-01,790.295256566021,,-2.257064087109,,
1953-10-01,788.76973885985,,-6.102070824684,,
1954-01-01,788.29056878382,,-1.916680304119,,
1954-04-01,788.399501626005,,0.43573136874,,
1954-07-01,789.522518397649,,4.492067086573,,
1954-10-01,791.460309439242,,7.751164166372,,
1955-01-01,794.276514157228,,11.264818871947,,
1955-04-01,795.890622021267,,6.456431456154,,
1955-07-01,797.232048814452,,5.365707172742,,
1955-10-01,797.830582758504,,2.394135776208,,
1956-01-01,797.4414461349,,-1.556546494417,,
1956-04-01,798.264370233934,,3.291696396133,,
1956-07-01,798.174490261349,,-0.359519890339,,
1956-10-01,799.806956761301,,6.529865999808,,
1957-01-01,800.445206758414,334.99040872746,2.552999988454,,
1957-04-01,800.225880490002,335.689712276558,-0.877305073648,2.797214196388,
1957-07-01,801.201127857799,336.95920423615,3.900989471188,5.077967838371,
1957-10-01,800.161462361907,337.416870927424,-4.15866198357,1.830666765093,
1958-01-01,797.531746397128,338.551956883006,-10.518863859115,4.540343822329,
1958-04-01,798.186822804812,339.114704580865,2.620305630734,2.250990791438,
1958-07-01,800.473690550978,339.114704580865,9.147470984667,0.0,
