__quarterly__,y,y_tnd,y_gap,ad_y,d4_y,ad_y_tnd,d4_y_tnd,cpi,ad_cpi,d4_cpi,ad_cpi_ste,rs,rs_unc,mpr,rrs,rrs_tnd,rrs_gap,obs_y,obs_rs,obs_cpi,shk_ad_y_tnd,shk_y_gap,shk_ad_cpi,shk_ad_cpi_ste,shk_rs,shk_rrs_tnd,ant_shk_ad_y_tnd,ant_shk_y_gap,ant_shk_ad_cpi,ant_shk_ad_cpi_ste,ant_shk_rs,ant_shk_rrs_tnd,shk_obs_y,shk_obs_cpi,shk_obs_rs,filter_span,,__unknown__,obs_ad_y,obs_y_gap,obs_ad_cpi,std_shk_ad_y_tnd,std_shk_y_gap,std_shk_ad_cpi,std_shk_ad_cpi_ste,std_shk_rs,std_shk_rrs_tnd,std_shk_obs_y,std_shk_obs_cpi,std_shk_obs_rs,
2010-Q1,971.611586527249,971.901760852458,-0.290174325209,2.631411718869,2.306881088539,2.37408707428,2.310688446181,538.161937231884,0.301931277879,0.895027549547,0.447236524785,0.106666666667,0.106666666667,-5.681369237341,-0.341803624054,-0.537442681106,0.195639057052,971.611586527249,0.106666666667,538.161937231884,0.085223489739,-0.004731304738,-0.274170207922,-0.001233765936,0.473014983487,-0.051363917829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2010-Q2,972.57452150951,972.506783766744,0.067737742766,3.851739929034,2.759443455245,2.420091657132,2.353356259135,538.126661536625,-0.141102781041,0.501612746892,0.135475012373,0.146666666667,0.146666666667,-6.770388588632,0.009504592982,-0.563411179892,0.572915772874,972.57452150951,0.146666666667,538.126661536625,0.089708936566,0.34266006396,-0.374902513719,-0.001687061312,1.259263813824,-0.052840632841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2010-Q3,973.34264878001,972.995243585525,0.347405194485,3.072509081987,2.982584520271,1.953839275112,2.269600181777,538.419379417067,1.170871521763,0.516498860182,1.387818840352,0.156666666667,0.156666666667,-2.141742543053,-1.228500687944,-0.601520035232,-0.626980652712,973.34264878001,0.156666666667,538.419379417067,-0.420247799164,0.233903822138,0.589219053729,0.002651485742,0.082102302429,-0.066279414334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2010-Q4,973.866385144455,973.357177668362,0.509207476093,2.094945457768,2.91265154692,1.447736331338,2.048938584469,539.225842771885,3.225853419268,1.139388359467,3.27642255672,0.136666666667,0.136666666667,4.81255186205,-3.135001355725,-0.654438762964,-2.480562592761,973.866385144455,0.136666666667,539.225842771885,-0.483410980019,0.000597320952,1.056563184165,0.004754534329,-1.683971298846,-0.082994729493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2011-Q1,973.62889847085,973.640372610253,-0.011474139403,-0.94994669443,2.017311943595,1.132779767552,1.738611757788,540.287405922672,4.246252603142,2.125468690783,4.054479438058,0.126666666667,0.126666666667,7.575467393236,-3.924893779389,-0.71382962106,-3.211064158329,973.62889847085,0.126666666667,540.287405922672,-0.31756974722,-0.714486162306,0.648664889359,0.002918992002,-2.369700181643,-0.092112796244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2011-Q2,974.303202217717,974.106407747565,0.196794470152,2.697214987456,1.7286807082,1.864140549238,1.599623980814,541.418004097202,4.522392698113,3.291342560571,4.354966009712,0.046666666667,0.046666666667,8.724402803153,-4.307365414778,-0.75244762857,-3.554917786209,974.303202217717,0.046666666667,541.418004097202,0.712999770062,-0.150091703918,0.207539614999,0.000933928267,-2.729434034122,-0.074309488562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2011-Q3,974.280886992138,974.63275695607,-0.351869963931,-0.089260902328,0.938238212121,2.105396834006,1.637513370537,542.067953159985,2.599796251128,3.648573742912,2.478249923872,0.023333333333,0.023333333333,1.74480241165,-2.459270543949,-0.780550580281,-1.678719963669,974.280886992138,0.023333333333,542.067953159985,0.259463312229,-0.667337812914,-0.967545202184,-0.00435395341,-0.94786726958,-0.065725333139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2011-Q4,975.397676673284,975.330630065415,0.067046607869,4.467158724573,1.531291528822,2.791492437374,1.973452397046,542.515851263171,1.79159241274,3.29000849128,1.861377902972,0.013333333333,0.013333333333,-0.454204764721,-1.850216360731,-0.777777990769,-1.072438369962,975.397676673284,0.013333333333,542.515851263171,0.716365445067,0.22370524382,-0.482620242504,-0.002171791091,-0.390615475487,-0.036254939502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2012-Q1,976.232770855164,975.968090140974,0.26468071419,3.340376727507,2.603872384307,2.549840302224,2.327717530714,543.077443229004,2.246367863328,2.790037306327,2.321456519897,0.066666666667,0.066666666667,1.256162288906,-2.253935444842,-0.776889867967,-1.477045576874,976.232770855164,0.066666666667,543.077443229004,-0.177077513282,0.066691200599,0.189868530948,0.000854408389,-0.75737390556,-0.038000776736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2012-Q2,976.678112481796,976.481189343239,0.196923138556,1.781366506516,2.374910264072,2.05239680905,2.374781595667,543.288322392935,0.843516655721,1.870318295729,1.036009221422,0.086666666667,0.086666666667,-3.465173375084,-0.953293024352,-0.779078252584,-0.174214771768,976.678112481796,0.086666666667,543.288322392935,-0.444951478064,-0.019008874264,-0.877882132605,-0.003950469597,0.402960010437,-0.041032878015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
