__quarterly__,y,cpi,rs,
1934-Q1,,,0.526666666667,
1934-Q2,,,0.153333333333,
1934-Q3,,,0.183333333333,
1934-Q4,,,0.25,
1935-Q1,,,0.18,
1935-Q2,,,0.15,
1935-Q3,,,0.17,
1935-Q4,,,0.17,
1936-Q1,,,0.2,
1936-Q2,,,0.2,
1936-Q3,,,0.17,
1936-Q4,,,0.12,
1937-Q1,,,0.233333333333,
1937-Q2,,,0.443333333333,
1937-Q3,,,0.293333333333,
1937-Q4,,,0.133333333333,
1938-Q1,,,0.086666666667,
1938-Q2,,,0.063333333333,
1938-Q3,,,0.07,
1938-Q4,,,0.04,
1939-Q1,,,0.03,
1939-Q2,,,0.03,
1939-Q3,,,0.076666666667,
1939-Q4,,,0.046666666667,
1940-Q1,,,0.016666666667,
1940-Q2,,,0.06,
1940-Q3,,,0.046666666667,
1940-Q4,,,0.02,
1941-Q1,,,0.056666666667,
1941-Q2,,,0.11,
1941-Q3,,,0.116666666667,
1941-Q4,,,0.233333333333,
1942-Q1,,,0.256666666667,
1942-Q2,,,0.353333333333,
1942-Q3,,,0.38,
1942-Q4,,,0.38,
1943-Q1,,,0.38,
1943-Q2,,,0.38,
1943-Q3,,,0.38,
1943-Q4,,,0.38,
1944-Q1,,,0.38,
1944-Q2,,,0.38,
1944-Q3,,,0.38,
1944-Q4,,,0.38,
1945-Q1,,,0.38,
1945-Q2,,,0.38,
1945-Q3,,,0.38,
1945-Q4,,,0.38,
1946-Q1,,,0.38,
1946-Q2,,,0.38,
1946-Q3,,,0.38,
1946-Q4,,,0.38,
1947-Q1,768.830921669201,307.731226054641,0.38,
1947-Q2,768.565345044952,309.149689553837,0.38,
1947-Q3,768.360255630446,311.307076597122,0.736666666667,
1947-Q4,769.914107456408,314.098635287349,0.906666666667,
1948-Q1,771.408917048549,316.195267746858,0.99,
1948-Q2,773.047791274611,317.777601398278,1.0,
1948-Q3,773.620665482296,319.444651094503,1.05,
1948-Q4,773.733887848866,318.525009721854,1.14,
1949-Q1,772.347710817458,317.56899274186,1.17,
1949-Q2,772.007475195648,317.457556597162,1.17,
1949-Q3,773.036106963596,316.617803586775,1.043333333333,
1949-Q4,772.194772389508,316.378585855024,1.076666666667,
1950-Q1,776.051135900663,316.068158062348,1.103333333333,
1950-Q2,779.056450887842,316.828403875214,1.153333333333,
1950-Q3,782.848693533777,318.649036472405,1.22,
1950-Q4,784.745545907986,320.653330166981,1.336666666667,
1951-Q1,786.094364313009,324.636128180306,1.366666666667,
1951-Q2,787.811668475219,325.604314920964,1.49,
1951-Q3,789.850726345627,325.552914251624,1.603333333333,
1951-Q4,790.069441053258,327.020245203354,1.61,
1952-Q1,791.13071566511,327.399512408928,1.566666666667,
1952-Q2,791.344786171855,327.664146171834,1.646666666667,
1952-Q3,792.063428264389,328.341434600577,1.783333333333,
1952-Q4,795.294604527897,328.453871366748,1.893333333333,
1953-Q1,797.136575573779,328.166281296697,1.98,
1953-Q2,797.906694047776,328.541234866844,2.153333333333,
1953-Q3,797.342589996608,329.001749713934,1.956666666667,
1953-Q4,795.817297609223,329.175447028077,1.473333333333,
1954-Q1,795.338583110228,329.410697554452,1.06,
1954-Q2,795.447935949448,329.249796473882,0.79,
1954-Q3,796.571292023779,328.989331210348,0.883333333333,
1954-Q4,798.509353837291,328.678366347538,1.02,
1955-Q1,801.325909973208,328.815310035295,1.223333333333,
1955-Q2,802.940352419061,328.678366347538,1.483333333333,
1955-Q3,804.282131525697,328.753086151761,1.856666666667,
1955-Q4,804.881000853782,329.0514083121,2.336666666667,
1956-Q1,804.49220332689,329.063819109509,2.326666666667,
1956-Q2,805.315382056812,329.719396941414,2.566666666667,
1956-Q3,805.225638412086,330.749701652173,2.583333333333,
1956-Q4,806.858151405629,331.600253559892,3.033333333333,
1957-Q1,807.496378270166,332.419633972601,3.096666666667,
1957-Q2,807.276997567094,333.268058730869,3.14,
1957-Q3,808.252149303261,334.15653226478,3.353333333333,
1957-Q4,807.212222399553,334.638914516716,3.31,
1958-Q1,804.582030516584,335.817389155372,1.756666666667,
1958-Q2,805.236781186374,336.487911898804,0.956666666667,
1958-Q3,807.523545354905,336.430284973911,1.68,
1958-Q4,809.834857554276,336.533989540444,2.69,
1959-Q1,811.735094534834,336.706591850138,2.773333333333,
1959-Q2,813.963513380896,336.878896757509,3.0,
1959-Q3,814.033215809771,337.394037270514,3.54,
1959-Q4,814.317791196556,337.997374521053,4.23,
1960-Q1,816.541509546592,338.088128923198,3.873333333333,
1960-Q2,816.001697900631,338.6873054374,2.993333333333,
1960-Q3,816.490432882994,338.743646641212,2.36,
1960-Q4,815.198998500562,339.383702725586,2.306666666667,
1961-Q1,815.8717484219,339.584977533556,2.35,
1961-Q2,817.555350650173,339.551459852666,2.303333333333,
1961-Q3,819.457510137888,339.941802176208,2.303333333333,
1961-Q4,821.400186991568,340.086399276092,2.46,
1962-Q1,823.168129575974,340.47466311733,2.723333333333,
1962-Q2,824.06881558519,340.850395684459,2.716666666667,
1962-Q3,825.290884477019,341.136771031623,2.84,
1962-Q4,825.619745009363,341.378449716763,2.813333333333,
1963-Q1,826.705915191659,341.696136350823,2.906666666667,
1963-Q2,827.822077195644,341.881898301198,2.94,
1963-Q3,829.997082523418,342.491390827947,3.293333333333,
1963-Q4,830.650845573819,342.762290923184,3.496666666667,
1964-Q1,832.737633491249,343.172658669698,3.53,
1964-Q2,833.820814228493,343.334183498872,3.476666666667,
1964-Q3,835.371332978279,343.559880837949,3.496666666667,
1964-Q4,835.680047052232,344.020439676996,3.683333333333,
